collection_no,collection.authorizer,license,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,occurrence_no,pubyr,type_specimen,type_body_part,collection.reference_no,10_my_bin,environment
8054,J. Alroy,CC BY,n. gen.,Idiastogyia,n. sp.,fatisca,,,,,1200614,1986,NIGP 70057,wing,492,Jurassic 1,marine indet.
10721,P. Gensel,,,Rhyniognatha,,hirsti,,,,,782214,,,,3987,,
10975,H. Sims,,n. gen.,Cotradechites,n. sp.,lithinus,,,,,1111735,1968,PU 888-93,tegmen,4023,Cenozoic 1,"""channel"""
11150,H. Sims,,,Tupus,n. sp.,whitei,,Typus,n. sp.,whitei,1013418,1928,USNM 71713,forewing,4048,Permian 2,fluvial indet.
14339,H. Sims,,n. gen.,Dysmorphoscartella,n. sp.,lobata,,,,,1017110,1973,N-E Rd I 1ab,wing,6188,Permian 4,delta plain
14344,H. Sims,,,Euxenoperla,n. sp.,similis,,,,,1017111,1973,N-EW22,wing,6188,Permian 4,delta plain
14350,H. Sims,,,Mioloptera,,stuckenbergi,,,,,1019729,1973,NM 850,wing,6188,Permian 4,delta plain
14350,H. Sims,,aff.,Aleuronympha,,bibulla,,,,,1019767,1974,NM 875ab,nymph,6188,Permian 4,delta plain
14356,H. Sims,,,Megoniella,,multinerva,,,,,1019735,1973,NM 849,wing,6188,Permian 4,delta plain
14356,H. Sims,,,Permosyne,n. sp.,elongata,,,,,1037649,2005,NMSA 2571,elytra,6188,Permian 4,delta plain
14356,H. Sims,,cf.,Permocicada,informal,sp B,,,,,1019713,1928,,,6188,Permian 4,delta plain
14356,H. Sims,,aff.,Permopsychops,,sp.,,,,,1019717,1926,,,6188,Permian 4,delta plain
14356,H. Sims,,,Taldycupes,n. sp.,africanus,,,,,1037645,2005,NMSA 2574,elytra,6188,Permian 4,delta plain
14356,H. Sims,,,Palademosyne,n. sp.,natalensis,,,,,1037648,2005,NMSA 2573,elytra,6188,Permian 4,delta plain
14356,H. Sims,,cf.,Permocicada,informal,sp A,,,,,1019712,1928,,,6188,Permian 4,delta plain
14356,H. Sims,,aff.,Permonka,,sp.,,,,,1019769,1973,,,6188,Permian 4,delta plain
14356,H. Sims,,aff.,Permithone,,sp.,,,,,1019716,1922,,,6188,Permian 4,delta plain
14356,H. Sims,,,Prochoristella,n. sp.,balgowanensis,,,,,1019724,1999,NM 2564 ab,forewing,6188,Permian 4,delta plain
14356,H. Sims,,,Palaeomantis,,sp.,,,,,1019707,1904,,,6188,Permian 4,delta plain
14356,H. Sims,,n. gen.,Stenotegmocicada,n. sp.,triclades,,,,,1019715,1999,NM 2553,forewing,6188,Permian 4,delta plain
14356,H. Sims,,,Ignotala,,sp.,,,,,1019693,1973,,,6188,Permian 4,delta plain
14356,H. Sims,,,Beaufortiscus,,sp.,,,,,1019710,1976,,,6188,Permian 4,delta plain
14356,H. Sims,,cf.,Permocicada,informal,sp C,,,,,1019714,1928,,,6188,Permian 4,delta plain
14357,H. Sims,,n. gen.,Beaufortiscus,n. sp.,dixi,,,,,1019219,1976,NM 950ab,tegmen,6188,Permian 4,delta plain
14357,H. Sims,,n. gen.,Afrogrylloblattus,n. sp.,disputabilis,,,,,1019734,2013,NM 988,forewing,6188,Permian 4,delta plain
14357,H. Sims,,,Rhombocoleites,n. sp.,danutae,,,,,1037647,2005,NMSA 0999,exoskeleton,6188,Permian 4,delta plain
14357,H. Sims,,,Permocicada,n. sp.,thompsoni,,,,,1019711,1999,NM 982,forewing,6188,Permian 4,delta plain
14357,H. Sims,,,Euxenoperla,n. sp.,oliveri,,,,,1019488,1976,NM 923ab,forewing,6188,Permian 4,delta plain
14357,H. Sims,,aff.,Aleuronympha,,bibulla,,,,,1019765,1974,NM 875ab,nymph,6188,Permian 4,delta plain
14357,H. Sims,,,Liomopterites,n. sp.,ulterior,,,,,1019731,2013,NM 980,forewing,6188,Permian 4,delta plain
14357,H. Sims,,,Taldycupes,n. sp.,lidgettoniensis,,,,,1037646,2005,NMSA 2505,elytra,6188,Permian 4,delta plain
14361,H. Sims,,,Miolopterina,,tenuipennis,,,,,1019490,1976,NM 909,hindwing,6188,Permian 4,delta plain
14361,H. Sims,,,Prochoristella,n. sp.,bulwerensis,,,,,1019725,1999,NM 2565 ab,forewing,6188,Permian 4,delta plain
14361,H. Sims,,,Dysmorphoscartella,,lobata,,,,,1019215,1973,N-E Rd I 1ab,wing,6188,Permian 4,delta plain
14361,H. Sims,,,Liomopterites,n. sp.,meridionalis,,,,,1019730,2013,NM 2730,forewing,6188,Permian 4,delta plain
14361,H. Sims,,,Euxenoperla,,similis,,,,,1019489,1973,N-EW22,wing,6188,Permian 4,delta plain
14361,H. Sims,,aff.,Archeosmylus,,sp.,,,,,1019708,1953,,,6188,Permian 4,delta plain
14361,H. Sims,,n. gen.,Permoxenopterum,n. sp.,laticostum,,,,,1095857,2011,NMSA 2732,tegmen,6188,Permian 4,delta plain
14361,H. Sims,,,Callietheira,n. sp.,granthami,,,,,1019722,1999,NM 2558 ab,forewing,6188,Permian 4,delta plain
14361,H. Sims,,,Liomoptoides,,similis,,,,,1019733,1973,NM 841ab,wing,6188,Permian 4,delta plain
14361,H. Sims,,,Epimastax,n. sp.,hesterae,,,,,964694,2011,NMSA 2737,forewing,6188,Permian 4,delta plain
14361,H. Sims,,n. gen.,Afroperla,n. sp.,permiana,,,,,937600,2004,NM 2733,forewing,6188,Permian 4,delta plain
14361,H. Sims,,,Neochoristella,n. sp.,goodalli,,,,,1019726,1999,NM 2567 ab,forewing,6188,Permian 4,delta plain
14361,H. Sims,,,Austroprosboloides,,vandijki,,,,,1019216,1973,NM 844,forewing,6188,Permian 4,delta plain
14361,H. Sims,,,Permomerope,n. sp.,natalensis,,,,,936072,2007,NMSA 2568a,forewing,6188,Permian 4,delta plain
14362,H. Sims,,n. gen.,Neoliomopterum,n. sp.,picturatum,,,,,1019634,1976,NM 910,forewing,6188,Permian 4,delta plain
15000,J. Alroy,CC BY,,Gomphaeschna,n. sp.,schrankii,,,,,1139717,1988,Science Museum of Minnesota,forewing,1459,Cenozoic 1,mire/swamp
20479,J. Alroy,CC BY,,Pterostichus,n. sp.,laevigatus,,Pterostichus,,sp.,1003642,1890,,elytra,1628,Cenozoic 6,cave
20479,J. Alroy,CC BY,,Cymindis,n. sp.,aurora,,,,,1003624,1876,,elytra,1628,Cenozoic 6,cave
20479,J. Alroy,CC BY,,Aphodius,n. sp.,precursor,,,,,1003590,1876,,exoskeleton,1628,Cenozoic 6,cave
20479,J. Alroy,CC BY,,Chlaenius,n. sp.,punctulatus,,,,,1003623,1876,,elytra,1628,Cenozoic 6,cave
20479,J. Alroy,CC BY,,Cychrus,n. sp.,minor,,,,,1003652,1876,,elytra,1628,Cenozoic 6,cave
20479,J. Alroy,CC BY,?,Choeridium,n. sp.,ebeninum,,,,,1003593,1876,,exoskeleton,1628,Cenozoic 6,cave
20479,J. Alroy,CC BY,,Cychrus,n. sp.,wheatleyi,,,,,1003651,1876,,exoskeleton,1628,Cenozoic 6,cave
20479,J. Alroy,CC BY,,Dicaelus,,sp.,,,,,1003634,1813,,,1628,Cenozoic 6,cave
20479,J. Alroy,CC BY,,Phanaeus,n. sp.,antiquus,,,,,1003592,1876,,exoskeleton,1628,Cenozoic 6,cave
20479,J. Alroy,CC BY,,Dicaelus,n. sp.,alutaceus,,,,,1003633,1876,,elytra,1628,Cenozoic 6,cave
20479,J. Alroy,CC BY,?,Pterostichus,,sp.,,,,,1003641,1810,,,1628,Cenozoic 6,cave
21851,C. Labandeira,,,Plecia,,sp.,,,,,225581,1823,,,4920,Cenozoic 2,lacustrine - large
21976,C. Labandeira,CC BY,,Culex,,protorhinus,,,,,1108606,1915,USNM 61430,exoskeleton,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,n. gen.,Dacnusites,n. sp.,sepultus,,,,,1097083,1921,BMNH In. 17176,exoskeleton,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,n. gen.,Lithobelyta,n. sp.,reducta,,,,,1097087,1921,BMNH In. 17091,exoskeleton,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Mastotermes,n. sp.,anglicus,,Mastotermes,n. sp.,batheri,1108444,1913,,hindwing,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Brachypremna,n. sp.,gurnetensis,,Megistocera,n. sp.,gurnetensis,1107838,1921,BMNH In. 17090,wing,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Plecia,n. sp.,acourti,,,,,1107842,1921,BMNH In.17098,exoskeleton,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Archepseudophylla,,melanospila,,,,,1107925,1921,BMNH In.24356,tegmen,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Dolichoderus,,ovigerus,,,,,1098687,1915,USNM 61416,exoskeleton,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Aedes,,protolepis,,,,,1108605,1915,USNM 61429,wing,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Macroteleia,n. sp.,veterna,,,,,1097086,1921,BMNH In. 17262,exoskeleton,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Tipula,n. sp.,callarche,,,,,1107837,1921,BMNH In. 17381,exoskeleton,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Leuctra,n. sp.,priscula,,Nemoura,n. sp.,priscula,214451,1922,NHML In.17498,forewing,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Sylvicola,,hooleyi,,Rhyphus,,hooleyi,1107841,1921,Hooley H.456,wing,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Dolichoderus,,britannicus,,,,,1098686,1915,USNM 61413,forewing,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,n. gen.,Vectevania,n. sp.,vetula,,,,,1107932,1922,BMNH In.20535,exoskeleton,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Micropterix,n. sp.,anglica,,,,,1014725,1980,NHML In.17411,forewing,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Coleocentrus,n. sp.,gurnetensis,,,,,1097065,1921,BMNH In. 17079,exoskeleton,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Reticulitermes,,sp.,,,,,1013374,,,,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Polybia,n. sp.,oblita,,,,,1178662,1921,BMNH In.20530,exoskeleton,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Gonomyia,,lutescens,,,,,1107840,1921,BMNH I.9217,wing,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,?,Neuronema,informal,sp. A,,,,,1013380,1869,,,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Trentepohlia,,cruciferella,,Mongoma,,cruciferella,1107844,1917,BMNH I. 8635,wing,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Oecophylla,,megarche,,,,,1098689,1915,USNM 61423,forewing,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,n. gen.,Lithopsyche,n. sp.,antiqua,,,,,1014758,1889,NHML I.19984,exoskeleton,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,?,Sceliphron,n. sp.,brevior,,,,,1097084,1921,BMNH In. 17472,exoskeleton,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Mastotermes,n. sp.,anglicus,,,,,1013373,1913,NHML I.15037,hindwing,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Limnobia,n. sp.,spilota,,,,,1107839,1921,BMNH In. 17114,wing,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Systropus,n. sp.,acourti,,Systropus,n. sp.,acourti,1107843,1921,BMNH In.17208,wing,5087,Cenozoic 3,wet floodplain
21976,C. Labandeira,CC BY,,Leucotaphus,,gurnetensis,,,,,1098688,1915,USNM 61417,forewing,5087,Cenozoic 3,wet floodplain
21979,C. Labandeira,CC BY,n. gen.,Glaphyrophlebia,n. sp.,ovata,n. gen.,Pursa,n. sp.,ovata,963969,1909,MCZ 4965,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Protereisma,n. sp.,permianum,,Protereisma,n. sp.,minus,955227,1907,,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Artinska,n. sp.,clara,,Artinska,n. sp.,medialis,963994,1909,Sellards 1381,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Atava,n. sp.,ovata,,,,,963974,1909,Sellards 372,hindwing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Protereisma,n. sp.,elongatum,n. gen.,Bantiska,n. sp.,elongata,955231,1907,,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Permoblattina,n. sp.,permiana,,Etoblattina,n. sp.,permiana,1151700,1908,KU 1001,tegmen,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Artinska,n. sp.,clara,,Artinska,n. sp.,extensa,963998,1909,Sellards 28,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Probnis,n. sp.,speciosa,,,,,963978,1909,Sellards 143,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Phyloblatta,n. sp.,compacta,n. gen.,Puknoblattina,n. sp.,compacta,1151725,1908,Sellard Coll. 123,tegmen,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Phenopterum,,elongatum,?,Lepium,n. sp.,sp.,963973,,,,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Probnis,,speciosa,,Lemmatophoridae,n. sp.,indet.,1181599,,,,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Protereisma,n. sp.,sp.,n. gen.,Pinctodia,n. sp.,curta,955235,1907,,exoskeleton,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Artinska,n. sp.,clara,n. gen.,Lectrum,n. sp.,anomalum,964002,1909,Sellards 173,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Probnis,n. sp.,speciosa,,Stoichus,n. sp.,arcuatus,963982,1909,Sellards 973,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Dichentomum,,tinctum,,,,,955674,1926,YPM 5071,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Lecorium,n. sp.,elongatum,,,,,964006,1909,Sellards 524,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Lecopterum,n. sp.,delicosum,,,,,963986,1909,Sellards 824,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Delopterum,n. sp.,minutum,,,,,964010,1909,Sellards 264,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Lemmatophora,n. sp.,typa,,Lemmatophora,n. sp.,hirsuta,963990,1909,Sellards 1047,exoskeleton,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Opter,n. sp.,brongniartii,,,,,963968,1909,Sellards 1286,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Urba,n. sp.,punctata,,,,,964013,1909,Sellards 1117,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Protereisma,n. sp.,permianum,,,,,955226,1907,,exoskeleton,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Artinska,n. sp.,clara,,,,,963993,1909,Sellards 115,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Phenopterum,n. sp.,elongatum,,Lepium,n. sp.,reticulatum,963972,1909,Sellards 152,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Protereisma,n. sp.,permianum,n. gen.,Prodromus,n. sp.,rectus,955230,1907,,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Artinska,n. sp.,clara,,Artinska,n. sp.,major,963997,1909,Sellards 1375,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Liomopterum,n. sp.,elongatum,n. gen.,Horates,n. sp.,elongatus,963977,1909,Sellards 992,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Misthodotes,n. sp.,obtusus,n. gen.,Dromeus,n. sp.,obtusus,955234,1907,,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Artinska,n. sp.,clara,,Estadia,n. sp.,tenuis,964001,1909,,,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Probnis,n. sp.,speciosa,n. gen.,Stoichus,n. sp.,elegans,963981,1909,Sellards 974,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Doter,n. sp.,minor,,,,,955238,1907,,exoskeleton,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Paraprisca,n. sp.,fragilis,n. gen.,Prisca,n. sp.,fragilis,964005,1909,,,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Probnis,n. sp.,speciosa,n. gen.,Stinus,n. sp.,brevicubitalis,963985,1909,Sellards 459,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Lecorium,n. sp.,elongatum,,Stemma,n. sp.,extensa,964009,1909,Sellards 1272,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Phyloblatta,n. sp.,curtula,,,,,1192896,1920,,tegmen,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Lemmatophora,n. sp.,anomala,,,,,963989,1909,Sellards 1089,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Tupus,n. sp.,permianus,,,,,955225,1906,,exoskeleton,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Lisca,n. sp.,minuta,,,,,963992,1909,Sellards 916,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Phenopterum,n. sp.,elongatum,n. gen.,Lepium,n. sp.,elongatum,963971,1909,MCZ 4931,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Protereisma,n. sp.,permianum,n. gen.,Protechma,n. sp.,acuminatum,955229,1907,,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Artinska,n. sp.,clara,,Artinska,n. sp.,pecta,963996,1909,Sellards 1087,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Liomopterum,n. sp.,ornatum,,Liomopterum,n. sp.,extensum,963976,1909,Sellards 972,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,?,Protereisma,n. sp.,sp.,?,Rekter,n. sp.,extensus,955233,1907,,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Permoblattina,n. sp.,curta,,Etoblattina,n. sp.,pecta,1151702,1908,Sellard Coll. 1013,tegmen,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Artinska,n. sp.,clara,,Estadia,n. sp.,arcuata,964000,1909,Sellards 1382,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Probnis,n. sp.,speciosa,n. gen.,Espira,n. sp.,obscura,963980,1909,Sellards 101,,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Therates,n. sp.,planus,,,,,955237,1907,,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Prosaites,n. sp.,secundus,,,,,964004,1909,Sellards 241,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Probnis,n. sp.,speciosa,,Stoichus,n. sp.,tenuis,963984,1909,Sellards 1208,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Parablattelytron,?,rectum,,,,,952452,1931,YPM 5413,elytra,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Lecorium,n. sp.,elongatum,n. gen.,Stemma,n. sp.,elegans,964008,1909,Sellards 31,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Permoraphidia,,americana,,,,,967558,1932,YPM 5422,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Lemmatophora,n. sp.,typa,,Lemmatophora,n. sp.,delicosa,963988,1909,Sellards 1050,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Delopterum,n. sp.,latum,,,,,964012,1909,Sellards 94,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Lemmatophora,n. sp.,typa,,Lemmatophora,n. sp.,elongata,963991,1909,Sellards 149,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Glaphyrophlebia,n. sp.,speciosa,n. gen.,Sindon,n. sp.,speciosa,963970,1909,MCZ 6303,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Protereisma,n. sp.,latum,,,,,955228,1907,,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Artinska,n. sp.,clara,,Artinska,n. sp.,gracilis,963995,1909,Sellards 1090,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Liomopterum,n. sp.,ornatum,,,,,963975,1909,Sellards 5,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Protereisma,n. sp.,arcuatum,n. gen.,Rekter,n. sp.,arcuatus,955232,1907,,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Permoblattina,n. sp.,curta,,Etoblattina,n. sp.,curta,1151701,1908,Sellard Coll. 8,tegmen,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Artinska,n. sp.,clara,n. gen.,Estadia,n. sp.,elongata,963999,1909,Sellards 1112,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Probnis,n. sp.,speciosa,,Probnis,n. sp.,coriacea,963979,1909,Sellards 655,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Phyloblatta,n. sp.,curvata,,Puknoblattina,n. sp.,curvata,1151726,1908,,tegmen,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Estadia,n. sp.,parva,,Estadia,,sp.,1181605,1919,,,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Protereisma,n. sp.,permianum,n. gen.,Scopus,n. sp.,gracilis,955236,1907,,exoskeleton,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Prosaites,n. sp.,compactus,,,,,964003,1909,Sellards 628,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Probnis,n. sp.,speciosa,,Stoichus,n. sp.,minor,963983,1909,Sellards 114,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Artinska,n. sp.,ovata,n. gen.,Orta,n. sp.,ovata,964007,1909,Sellards 295,forewing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,n. gen.,Lemmatophora,n. sp.,typa,,,,,963987,1909,Sellards 1162,wing,36548,Permian 2,pond
21979,C. Labandeira,CC BY,,Delopsocus,n. sp.,elongatus,,Delopterum,n. sp.,elongatum,964011,1909,Sellards 61,forewing,36548,Permian 2,pond
21981,C. Labandeira,CC BY,n. gen.,Endoiasmus,n. sp.,reticulatus,,,,,1033240,1906,USNM 38819,exoskeleton,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,n. gen.,Polyernus,n. sp.,complanatus,,,,,215538,1885,USNM 38144,exoskeleton,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,,Gerarus,n. sp.,constrictus,,Gerarus,n. sp.,angustus,1012505,1906,USNM 38811,wing,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,,Phyloblatta,n. sp.,hilliana,,Etoblattina,n. sp.,hilliana,1025915,1895,USNM 38069,exoskeleton,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,n. gen.,Miamia,n. sp.,bronsoni,n. gen.,Spaniodera,n. sp.,ambulans,215468,1906,USNM 38817,exoskeleton,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,n. gen.,Gerarus,n. sp.,constrictus,n. gen.,Genopteryx,n. sp.,constricta,967885,1885,,wing,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,,Gerarus,n. sp.,mazonus,,,,,967893,1885,,exoskeleton,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,n. gen.,Miamia,n. sp.,bronsoni,n. gen.,Metryia,n. sp.,analis,1013153,1906,USNM 38834,exoskeleton,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,,Gerapompus,n. sp.,schucherti,,,,,215519,1906,USNM 38816,forewing,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,,Sooblatta,,testudo,,Promylacris,,testudo,1025758,1890,USNM 38158,exoskeleton,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,,Agogoblattina,n. sp.,occidua,,Oryctoblattina,n. sp.,occidua,215523,1885,R. D. Lacoe No. 2039,exoskeleton,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,,Gerarus,,collaris,,,,,215458,1911,YPM 34,exoskeleton,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,n. gen.,Mylacris,n. sp.,diplodiscus,n. gen.,Dipeltis,n. sp.,diplodiscus,1176229,1885,USNM 38864,nymph,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,n. gen.,Dieconeura,n. sp.,arcuata,,,,,215465,1885,,exoskeleton,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,,Eucaenus,,attenuatus,,,,,1012467,1903,Chicago Academy Sciences 4749,exoskeleton,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,,Mylacris,n. sp.,antiqua,,Mylacris,n. sp.,antiquum,1026195,1884,Lacoe 2036,tegmen,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,,Catadyesthus,,priscus,,Acridites,,priscus,967884,1864,,wing,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,n. gen.,Anthracothremma,n. sp.,robusta,,,,,215512,1885,,exoskeleton,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,,Mylacris,n. sp.,ampla,,,,,1025752,1895,Coll Lacoe 2021 ab,exoskeleton,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,"""",Palaeodictyopteron,n. sp.,mazonum,,,,,1014716,1906,USNM 38831,nymph,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,,Gerapompus,n. sp.,extensus,,,,,215518,1885,,exoskeleton,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,,Oxynoblatta,n. sp.,triangularis,,Paromylacris,n. sp.,triangularis,1025757,1895,USNM 38046,tegmen,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,,Paromylacris,n. sp.,rotunda,,Paromylacris,n. sp.,rotundum,215435,1885,R. D. Lacoe No. 2026,exoskeleton,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,,Megathentomum,n. sp.,scudderi,,Megathentomum,,pustulatum,215535,1906,USNM,wing,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,n. gen.,Aetophlebia,n. sp.,singularis,n. gen.,Aethophlebia,n. sp.,singularis,215522,1885,USNM 38147,wing,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,n. gen.,Genentomum,n. sp.,validum,,,,,215455,1885,,wing,35478,Carboniferous 4,interdistributary bay
21981,C. Labandeira,CC BY,n. gen.,Danielsiella,n. sp.,priscula,,,,,1018495,1916,USNM 62000,exoskeleton,35478,Carboniferous 4,interdistributary bay
