collection_no,collection.authorizer,license,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,type_specimen,type_body_part,collection.reference_no,10_my_bin
8054,J. Alroy,CC BY,n. gen.,Idiastogyia,n. sp.,fatisca,,,,,NIGP 70057,wing,492,Jurassic 1
10721,P. Gensel,,,Rhyniognatha,,hirsti,,,,,,,3987,
10975,H. Sims,,n. gen.,Cotradechites,n. sp.,lithinus,,,,,PU 888-93,tegmen,4023,Cenozoic 1
11150,H. Sims,,,Tupus,n. sp.,whitei,,Typus,n. sp.,whitei,USNM 71713,forewing,4048,Permian 2
14339,H. Sims,,n. gen.,Dysmorphoscartella,n. sp.,lobata,,,,,N-E Rd I 1ab,wing,6188,Permian 4
14344,H. Sims,,,Euxenoperla,n. sp.,similis,,,,,N-EW22,wing,6188,Permian 4
14350,H. Sims,,,Mioloptera,,stuckenbergi,,,,,NM 850,wing,6188,Permian 4
14350,H. Sims,,aff.,Aleuronympha,,bibulla,,,,,NM 875ab,nymph,6188,Permian 4
14356,H. Sims,,aff.,Permonka,,sp.,,,,,,,6188,Permian 4
14356,H. Sims,,,Palademosyne,n. sp.,natalensis,,,,,NMSA 2573,elytra,6188,Permian 4
14356,H. Sims,,,Prochoristella,n. sp.,balgowanensis,,,,,NM 2564 ab,forewing,6188,Permian 4
14356,H. Sims,,cf.,Permocicada,informal,sp B,,,,,,,6188,Permian 4
14356,H. Sims,,,Megoniella,,multinerva,,,,,NM 849,wing,6188,Permian 4
14356,H. Sims,,,Ignotala,,sp.,,,,,,,6188,Permian 4
14356,H. Sims,,n. gen.,Stenotegmocicada,n. sp.,triclades,,,,,NM 2553,forewing,6188,Permian 4
14356,H. Sims,,,Taldycupes,n. sp.,africanus,,,,,NMSA 2574,elytra,6188,Permian 4
14356,H. Sims,,aff.,Permopsychops,,sp.,,,,,,,6188,Permian 4
14356,H. Sims,,,Beaufortiscus,,sp.,,,,,,,6188,Permian 4
14356,H. Sims,,cf.,Permocicada,informal,sp A,,,,,,,6188,Permian 4
14356,H. Sims,,,Permosyne,n. sp.,elongata,,,,,NMSA 2571,elytra,6188,Permian 4
14356,H. Sims,,cf.,Permocicada,informal,sp C,,,,,,,6188,Permian 4
14356,H. Sims,,,Palaeomantis,,sp.,,,,,,,6188,Permian 4
14356,H. Sims,,aff.,Permithone,,sp.,,,,,,,6188,Permian 4
14357,H. Sims,,,Euxenoperla,n. sp.,oliveri,,,,,NM 923ab,forewing,6188,Permian 4
14357,H. Sims,,,Liomopterites,n. sp.,ulterior,,,,,NM 980,forewing,6188,Permian 4
14357,H. Sims,,,Rhombocoleites,n. sp.,danutae,,,,,NMSA 0999,exoskeleton,6188,Permian 4
14357,H. Sims,,n. gen.,Afrogrylloblattus,n. sp.,disputabilis,,,,,NM 988,forewing,6188,Permian 4
14357,H. Sims,,n. gen.,Beaufortiscus,n. sp.,dixi,,,,,NM 950ab,tegmen,6188,Permian 4
14357,H. Sims,,aff.,Aleuronympha,,bibulla,,,,,NM 875ab,nymph,6188,Permian 4
14357,H. Sims,,,Taldycupes,n. sp.,lidgettoniensis,,,,,NMSA 2505,elytra,6188,Permian 4
14357,H. Sims,,,Permocicada,n. sp.,thompsoni,,,,,NM 982,forewing,6188,Permian 4
14361,H. Sims,,,Neochoristella,n. sp.,goodalli,,,,,NM 2567 ab,forewing,6188,Permian 4
14361,H. Sims,,,Austroprosboloides,,vandijki,,,,,NM 844,forewing,6188,Permian 4
14361,H. Sims,,aff.,Archeosmylus,,sp.,,,,,,,6188,Permian 4
14361,H. Sims,,n. gen.,Afroperla,n. sp.,permiana,,,,,NM 2733,forewing,6188,Permian 4
14361,H. Sims,,,Permomerope,n. sp.,natalensis,,,,,NMSA 2568a,forewing,6188,Permian 4
14361,H. Sims,,,Epimastax,n. sp.,hesterae,,,,,NMSA 2737,forewing,6188,Permian 4
14361,H. Sims,,,Miolopterina,,tenuipennis,,,,,NM 909,hindwing,6188,Permian 4
14361,H. Sims,,,Callietheira,n. sp.,granthami,,,,,NM 2558 ab,forewing,6188,Permian 4
14361,H. Sims,,,Prochoristella,n. sp.,bulwerensis,,,,,NM 2565 ab,forewing,6188,Permian 4
14361,H. Sims,,,Dysmorphoscartella,,lobata,,,,,N-E Rd I 1ab,wing,6188,Permian 4
14361,H. Sims,,n. gen.,Permoxenopterum,n. sp.,laticostum,,,,,NMSA 2732,tegmen,6188,Permian 4
14361,H. Sims,,,Euxenoperla,,similis,,,,,N-EW22,wing,6188,Permian 4
14361,H. Sims,,,Liomopterites,n. sp.,meridionalis,,,,,NM 2730,forewing,6188,Permian 4
14361,H. Sims,,,Liomoptoides,,similis,,,,,NM 841ab,wing,6188,Permian 4
14362,H. Sims,,n. gen.,Neoliomopterum,n. sp.,picturatum,,,,,NM 910,forewing,6188,Permian 4
15000,J. Alroy,CC BY,,Gomphaeschna,n. sp.,schrankii,,,,,Science Museum of Minnesota,forewing,1459,Cenozoic 1
20479,J. Alroy,CC BY,,Chlaenius,n. sp.,punctulatus,,,,,,elytra,1628,Cenozoic 6
20479,J. Alroy,CC BY,?,Pterostichus,,sp.,,,,,,,1628,Cenozoic 6
20479,J. Alroy,CC BY,,Cychrus,n. sp.,wheatleyi,,,,,,exoskeleton,1628,Cenozoic 6
20479,J. Alroy,CC BY,,Dicaelus,,sp.,,,,,,,1628,Cenozoic 6
20479,J. Alroy,CC BY,?,Choeridium,n. sp.,ebeninum,,,,,,exoskeleton,1628,Cenozoic 6
20479,J. Alroy,CC BY,,Cymindis,n. sp.,aurora,,,,,,elytra,1628,Cenozoic 6
20479,J. Alroy,CC BY,,Pterostichus,n. sp.,laevigatus,,Pterostichus,,sp.,,elytra,1628,Cenozoic 6
20479,J. Alroy,CC BY,,Dicaelus,n. sp.,alutaceus,,,,,,elytra,1628,Cenozoic 6
20479,J. Alroy,CC BY,,Cychrus,n. sp.,minor,,,,,,elytra,1628,Cenozoic 6
20479,J. Alroy,CC BY,,Aphodius,n. sp.,precursor,,,,,,exoskeleton,1628,Cenozoic 6
20479,J. Alroy,CC BY,,Phanaeus,n. sp.,antiquus,,,,,,exoskeleton,1628,Cenozoic 6
21851,C. Labandeira,,,Plecia,,sp.,,,,,,,4920,Cenozoic 2
21976,C. Labandeira,CC BY,,Dolichoderus,,britannicus,,,,,USNM 61413,forewing,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Plecia,n. sp.,acourti,,,,,BMNH In.17098,exoskeleton,5087,Cenozoic 3
21976,C. Labandeira,CC BY,n. gen.,Dacnusites,n. sp.,sepultus,,,,,BMNH In. 17176,exoskeleton,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Mastotermes,n. sp.,anglicus,,,,,NHML I.15037,hindwing,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Leucotaphus,,gurnetensis,,,,,USNM 61417,forewing,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Trentepohlia,,cruciferella,,Mongoma,,cruciferella,BMNH I. 8635,wing,5087,Cenozoic 3
21976,C. Labandeira,CC BY,n. gen.,Lithopsyche,n. sp.,antiqua,,,,,NHML I.19984,exoskeleton,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Aedes,,protolepis,,,,,USNM 61429,wing,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Micropterix,n. sp.,anglica,,,,,NHML In.17411,forewing,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Tipula,n. sp.,callarche,,,,,BMNH In. 17381,exoskeleton,5087,Cenozoic 3
21976,C. Labandeira,CC BY,n. gen.,Lithobelyta,n. sp.,reducta,,,,,BMNH In. 17091,exoskeleton,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Limnobia,n. sp.,spilota,,,,,BMNH In. 17114,wing,5087,Cenozoic 3
21976,C. Labandeira,CC BY,n. gen.,Vectevania,n. sp.,vetula,,,,,BMNH In.20535,exoskeleton,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Polybia,n. sp.,oblita,,,,,BMNH In.20530,exoskeleton,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Sylvicola,,hooleyi,,Rhyphus,,hooleyi,Hooley H.456,wing,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Dolichoderus,,ovigerus,,,,,USNM 61416,exoskeleton,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Systropus,n. sp.,acourti,,Systropus,n. sp.,acourti,BMNH In.17208,wing,5087,Cenozoic 3
21976,C. Labandeira,CC BY,?,Sceliphron,n. sp.,brevior,,,,,BMNH In. 17472,exoskeleton,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Leuctra,n. sp.,priscula,,Nemoura,n. sp.,priscula,NHML In.17498,forewing,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Reticulitermes,,sp.,,,,,,,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Oecophylla,,megarche,,,,,USNM 61423,forewing,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Macroteleia,n. sp.,veterna,,,,,BMNH In. 17262,exoskeleton,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Culex,,protorhinus,,,,,USNM 61430,exoskeleton,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Mastotermes,n. sp.,anglicus,,Mastotermes,n. sp.,batheri,,hindwing,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Brachypremna,n. sp.,gurnetensis,,Megistocera,n. sp.,gurnetensis,BMNH In. 17090,wing,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Archepseudophylla,,melanospila,,,,,BMNH In.24356,tegmen,5087,Cenozoic 3
21976,C. Labandeira,CC BY,?,Neuronema,informal,sp. A,,,,,,,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Coleocentrus,n. sp.,gurnetensis,,,,,BMNH In. 17079,exoskeleton,5087,Cenozoic 3
21976,C. Labandeira,CC BY,,Gonomyia,,lutescens,,,,,BMNH I.9217,wing,5087,Cenozoic 3
21979,C. Labandeira,CC BY,,Probnis,n. sp.,speciosa,,Stoichus,n. sp.,arcuatus,Sellards 973,wing,36548,Permian 2
21979,C. Labandeira,CC BY,,Artinska,n. sp.,clara,,Artinska,n. sp.,extensa,Sellards 28,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Protereisma,n. sp.,arcuatum,n. gen.,Rekter,n. sp.,arcuatus,,wing,36548,Permian 2
21979,C. Labandeira,CC BY,,Phenopterum,,elongatum,?,Lepium,n. sp.,sp.,,,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Artinska,n. sp.,ovata,n. gen.,Orta,n. sp.,ovata,Sellards 295,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,,Lemmatophora,n. sp.,typa,,Lemmatophora,n. sp.,elongata,Sellards 149,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Liomopterum,n. sp.,ornatum,,,,,Sellards 5,wing,36548,Permian 2
21979,C. Labandeira,CC BY,,Estadia,n. sp.,parva,,Estadia,,sp.,,,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Phyloblatta,n. sp.,compacta,n. gen.,Puknoblattina,n. sp.,compacta,Sellard Coll. 123,tegmen,36548,Permian 2
21979,C. Labandeira,CC BY,,Probnis,n. sp.,speciosa,,Stoichus,n. sp.,tenuis,Sellards 1208,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Tupus,n. sp.,permianus,,,,,,exoskeleton,36548,Permian 2
21979,C. Labandeira,CC BY,,Artinska,n. sp.,clara,,Estadia,n. sp.,arcuata,Sellards 1382,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Misthodotes,n. sp.,obtusus,n. gen.,Dromeus,n. sp.,obtusus,,wing,36548,Permian 2
21979,C. Labandeira,CC BY,,Lecorium,n. sp.,elongatum,,Stemma,n. sp.,extensa,Sellards 1272,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Artinska,n. sp.,clara,,,,,Sellards 115,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Liomopterum,n. sp.,elongatum,n. gen.,Horates,n. sp.,elongatus,Sellards 992,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,,Permoblattina,n. sp.,curta,,Etoblattina,n. sp.,curta,Sellard Coll. 8,tegmen,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Artinska,n. sp.,clara,n. gen.,Lectrum,n. sp.,anomalum,Sellards 173,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Lecopterum,n. sp.,delicosum,,,,,Sellards 824,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Glaphyrophlebia,n. sp.,ovata,n. gen.,Pursa,n. sp.,ovata,MCZ 4965,wing,36548,Permian 2
21979,C. Labandeira,CC BY,,Protereisma,n. sp.,permianum,,Protereisma,n. sp.,minus,,wing,36548,Permian 2
21979,C. Labandeira,CC BY,,Probnis,n. sp.,speciosa,,Probnis,n. sp.,coriacea,Sellards 655,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Protereisma,n. sp.,permianum,n. gen.,Scopus,n. sp.,gracilis,,exoskeleton,36548,Permian 2
21979,C. Labandeira,CC BY,,Delopsocus,n. sp.,elongatus,,Delopterum,n. sp.,elongatum,Sellards 61,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,,Artinska,n. sp.,clara,,Artinska,n. sp.,gracilis,Sellards 1090,wing,36548,Permian 2
21979,C. Labandeira,CC BY,,Prosaites,n. sp.,secundus,,,,,Sellards 241,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,,Lemmatophora,n. sp.,typa,,Lemmatophora,n. sp.,delicosa,Sellards 1050,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Phenopterum,n. sp.,elongatum,n. gen.,Lepium,n. sp.,elongatum,MCZ 4931,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Protereisma,n. sp.,permianum,n. gen.,Protechma,n. sp.,acuminatum,,wing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Probnis,n. sp.,speciosa,n. gen.,Stoichus,n. sp.,elegans,Sellards 974,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Doter,n. sp.,minor,,,,,,exoskeleton,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Urba,n. sp.,punctata,,,,,Sellards 1117,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,,Artinska,n. sp.,clara,,Artinska,n. sp.,major,Sellards 1375,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,,Phyloblatta,n. sp.,curtula,,,,,,tegmen,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Protereisma,n. sp.,elongatum,n. gen.,Bantiska,n. sp.,elongata,,wing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Lecorium,n. sp.,elongatum,,,,,Sellards 524,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,,Lemmatophora,n. sp.,typa,,Lemmatophora,n. sp.,hirsuta,Sellards 1047,exoskeleton,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Atava,n. sp.,ovata,,,,,Sellards 372,hindwing,36548,Permian 2
21979,C. Labandeira,CC BY,,Probnis,,speciosa,,Lemmatophoridae,n. sp.,indet.,,,36548,Permian 2
21979,C. Labandeira,CC BY,,Probnis,n. sp.,speciosa,,Stoichus,n. sp.,minor,Sellards 114,wing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Artinska,n. sp.,clara,n. gen.,Estadia,n. sp.,elongata,Sellards 1112,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,?,Protereisma,n. sp.,sp.,?,Rekter,n. sp.,extensus,,wing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Lecorium,n. sp.,elongatum,n. gen.,Stemma,n. sp.,elegans,Sellards 31,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Lisca,n. sp.,minuta,,,,,Sellards 916,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,,Parablattelytron,?,rectum,,,,,YPM 5413,elytra,36548,Permian 2
21979,C. Labandeira,CC BY,,Liomopterum,n. sp.,ornatum,,Liomopterum,n. sp.,extensum,Sellards 972,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,,Permoblattina,n. sp.,permiana,,Etoblattina,n. sp.,permiana,KU 1001,tegmen,36548,Permian 2
21979,C. Labandeira,CC BY,,Artinska,n. sp.,clara,,Estadia,n. sp.,tenuis,,,36548,Permian 2
21979,C. Labandeira,CC BY,,Phyloblatta,n. sp.,curvata,,Puknoblattina,n. sp.,curvata,,tegmen,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Probnis,n. sp.,speciosa,n. gen.,Stinus,n. sp.,brevicubitalis,Sellards 459,wing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Opter,n. sp.,brongniartii,,,,,Sellards 1286,wing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Protereisma,n. sp.,permianum,,,,,,exoskeleton,36548,Permian 2
21979,C. Labandeira,CC BY,,Permoblattina,n. sp.,curta,,Etoblattina,n. sp.,pecta,Sellard Coll. 1013,tegmen,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Protereisma,n. sp.,sp.,n. gen.,Pinctodia,n. sp.,curta,,exoskeleton,36548,Permian 2
21979,C. Labandeira,CC BY,,Dichentomum,,tinctum,,,,,YPM 5071,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Delopterum,n. sp.,minutum,,,,,Sellards 264,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,,Artinska,n. sp.,clara,,Artinska,n. sp.,medialis,Sellards 1381,wing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Probnis,n. sp.,speciosa,,,,,Sellards 143,wing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Prosaites,n. sp.,compactus,,,,,Sellards 628,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Lemmatophora,n. sp.,typa,,,,,Sellards 1162,wing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Glaphyrophlebia,n. sp.,speciosa,n. gen.,Sindon,n. sp.,speciosa,MCZ 6303,wing,36548,Permian 2
21979,C. Labandeira,CC BY,,Protereisma,n. sp.,latum,,,,,,wing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Probnis,n. sp.,speciosa,n. gen.,Espira,n. sp.,obscura,Sellards 101,,36548,Permian 2
21979,C. Labandeira,CC BY,,Permoraphidia,,americana,,,,,YPM 5422,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Therates,n. sp.,planus,,,,,,wing,36548,Permian 2
21979,C. Labandeira,CC BY,,Delopterum,n. sp.,latum,,,,,Sellards 94,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,,Artinska,n. sp.,clara,,Artinska,n. sp.,pecta,Sellards 1087,forewing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Protereisma,n. sp.,permianum,n. gen.,Prodromus,n. sp.,rectus,,wing,36548,Permian 2
21979,C. Labandeira,CC BY,n. gen.,Paraprisca,n. sp.,fragilis,n. gen.,Prisca,n. sp.,fragilis,,,36548,Permian 2
21979,C. Labandeira,CC BY,,Lemmatophora,n. sp.,anomala,,,,,Sellards 1089,wing,36548,Permian 2
21979,C. Labandeira,CC BY,,Phenopterum,n. sp.,elongatum,,Lepium,n. sp.,reticulatum,Sellards 152,wing,36548,Permian 2
21981,C. Labandeira,CC BY,,Agogoblattina,n. sp.,occidua,,Oryctoblattina,n. sp.,occidua,R. D. Lacoe No. 2039,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Miamia,n. sp.,bronsoni,n. gen.,Spaniodera,n. sp.,ambulans,USNM 38817,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Cheliphlebia,n. sp.,carbonaria,,,,,,wing,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Metachorus,,testudo,,Promylacris,,testudo,USNM 38158,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Gerarus,n. sp.,constrictus,,Gerarus,n. sp.,angustus,USNM 38811,wing,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Miamia,n. sp.,bronsoni,n. gen.,Metryia,n. sp.,analis,USNM 38834,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Mylacris,n. sp.,diplodiscus,n. gen.,Dipeltis,n. sp.,diplodiscus,USNM 38864,nymph,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Adiphlebia,n. sp.,lacoana,,Adiphlebia,n. sp.,longitudinalis,USNM 38140,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Megalometer,n. sp.,lata,,,,,USNM 38825,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Eucaenus,n. sp.,ovalis,,,,,,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Mammia,n. sp.,alutacea,,,,,USNM 38829,wing,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Axiologus,n. sp.,thoracicus,,,,,USNM 38137,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Mylacris,n. sp.,anthracophila,,Mylacris,n. sp.,elongata,Coll Lacoe 2014 ab,tegmen,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Gerapompus,n. sp.,extensus,,,,,,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Genentomum,n. sp.,validum,,,,,,wing,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Gerarus,n. sp.,constrictus,,Gerarus,n. sp.,longus,USNM 38822,wing,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Eucaenus,,attenuatus,,,,,Chicago Academy Sciences 4749,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Megathentomum,n. sp.,scudderi,,Megathentomum,,pustulatum,USNM,wing,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Polyernus,n. sp.,complanatus,,,,,USNM 38144,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Gerarus,n. sp.,constrictus,n. gen.,Genopteryx,n. sp.,constricta,,wing,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Mylacris,n. sp.,ampla,,,,,Coll Lacoe 2021 ab,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Gerarus,n. sp.,vetus,,,,,USNM 38136,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Phyloblatta,n. sp.,hilliana,,Etoblattina,n. sp.,hilliana,USNM 38069,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Orthomylacris,n. sp.,rigida,,Promylacris,n. sp.,rigida,,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Chrestotes,,lapidea,,,,,,wing,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Aetophlebia,n. sp.,singularis,n. gen.,Aethophlebia,n. sp.,singularis,USNM 38147,wing,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Dieconeura,n. sp.,arcuata,,,,,,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Oxynoblatta,n. sp.,triangularis,,Paromylacris,n. sp.,triangularis,USNM 38046,tegmen,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Danielsiella,n. sp.,priscula,,,,,USNM 62000,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Gerarus,n. sp.,mazonus,,,,,,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Gyrophlebia,n. sp.,longicollis,,,,,USNM 38150,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Gerapompus,n. sp.,blattinoides,,,,,,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Eucaenus,n. sp.,rotundatus,,,,,USNM 38153,forewing,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Metacheliphlebia,n. sp.,elongata,,Cheliphlebia,n. sp.,elongata,,wing,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Catadyesthus,,priscus,,Acridites,,priscus,,wing,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Archaeologus,n. sp.,falcatus,,,,,USNM 38818,wing,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Gerapompus,n. sp.,schucherti,,,,,USNM 38816,forewing,35478,Carboniferous 4
21981,C. Labandeira,CC BY,"""",Palaeodictyopteron,n. sp.,mazonum,,,,,USNM 38831,nymph,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Gerarus,,collaris,,,,,YPM 34,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Mylacris,n. sp.,anthracophila,,Mylacris,n. sp.,antiquum,Lacoe 2036,tegmen,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Paromylacris,n. sp.,ampla,,,,,,,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Polyetes,n. sp.,furcifer,,,,,USNM 38823,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Palaiotaptus,n. sp.,mazonus,,,,,USNM 38815,wing,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Endoiasmus,n. sp.,reticulatus,,,,,USNM 38819,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Adiphlebia,n. sp.,lacoana,,,,,USNM 38143,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,?,Archoblattina,n. sp.,scudderi,,,,,,hindwing,35478,Carboniferous 4
21981,C. Labandeira,CC BY,,Paromylacris,n. sp.,rotunda,,Paromylacris,n. sp.,rotundum,R. D. Lacoe No. 2026,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Anthracothremma,n. sp.,robusta,,,,,,exoskeleton,35478,Carboniferous 4
21981,C. Labandeira,CC BY,n. gen.,Pseudogerarus,n. sp.,scudderi,,,,,USNM 38151,exoskeleton,35478,Carboniferous 4
22645,A. Behrensmeyer,CC BY,n. gen.,Hylaeoneura,n. sp.,lignei,,,,,,tegmen,19188,
23002,H. Sims,,,Ademosyne,n. sp.,prisca,,,,,N-U.U. 1209,elytra,6624,Triassic 3
23002,H. Sims,,,Triassoblatta,,natalensis,,,,,BMNH In 59529,tegmen,6624,Triassic 3
23002,H. Sims,,,Ademosyne,n. sp.,speciosa,,,,,N-U.U. 1206ab,elytra,6624,Triassic 3
23002,H. Sims,,,Fletchitzia,,picturata,,,,,BP/2/20997,forewing,6624,Triassic 3
23002,H. Sims,,,Moltenocupes,,townrowi,,,,,BMNH In 59334,exoskeleton,6624,Triassic 3
23003,H. Sims,,,Triassoblatta,,sp.,,,,,,,6624,
23004,H. Sims,,,Dordrechtia,,robusta,,,,,C-Dt II 792ab,forewing,6624,Triassic 3
23075,H. Sims,,,Dordrechtia,,robusta,,,,,C-Dt II 792ab,forewing,6624,Triassic 3
23075,H. Sims,,,Fletchitzia,,picturata,,,,,BP/2/20997,forewing,6624,Triassic 3
23084,H. Sims,,aff.,Fletchitzia,,picturata,,,,,BP/2/20997,forewing,6624,Triassic 3
23084,H. Sims,,,Shurabia,n. sp.,kapokkraalensis,,Fletchitzia,n. sp.,kapokkraalensis,PRE/F 16418,forewing,6624,Triassic 3
