"","specimen_no","occurrence_no","reference_no","specimen_id","sex","specimen_part","is_type","measurement_no","measurement_type","average"
"1",61341,"1037670",41270,"YPM 1","NULL","elytron","holotype",121365,"length","15.2"
"4",61343,"1037672",41270,"YPM 2","NULL","elytron","holotype",121368,"width","3.3"
"5",61343,"1037672",41270,"YPM 2","NULL","elytron","holotype",121369,"length","12.7"
"10",25417,"971636",37344,"NULL","NULL","hindwing","holotype",47429,"length","43.4"
"11",25435,"971799",37344,"M. brevpennis type","NULL","tegmen","holotype",47464,"width","12.7"
"12",25435,"971799",37344,"M. brevpennis type","NULL","tegmen","holotype",47465,"length","43.4"
"13",25436,"965158",37344,"METH","NULL","tegmen","holotype",47466,"width","5.3"
"14",25436,"965158",37344,"METH","NULL","tegmen","holotype",47467,"length","38.1"
"15",25437,"965109",37344,"G. femoralis type","NULL","tegmen","holotype",47468,"length","12.4"
"17",26583,"980265",37344,"T. procerus Gratz type","NULL","wing","holotype",49308,"length","34.2"
"20",26585,"980266",37344,"T. haidingeri Wien type","NULL","wing","holotype",49311,"length","30.7"
"23",26587,"980267",37344,"T. spectabilis Stuttgart type","NULL","wing","holotype",49314,"width","8.5"
"24",26587,"980267",37344,"T. spectabilis Stuttgart type","NULL","wing","holotype",49315,"length","30.7"
"26",26589,"980277",37344,"T. insignis Seyfried type","NULL","wing","holotype",49317,"length","27.5"
"29",26591,"980291",37344,"T. bremii type","NULL","wing","holotype",49320,"width","4.5"
"30",26591,"980291",37344,"T. bremii type","NULL","wing","holotype",49321,"length","14.8"
"33",26605,"980298",37344,"T. pristinus Charpentier type","NULL","wing","holotype",49335,"length","22.5"
"34",26606,"980299",37344,"T. obscurus Heer type","NULL","wing","holotype",49336,"width","3.7"
"35",26606,"980299",37344,"T. obscurus Heer type","NULL","wing","holotype",49337,"length","13"
"36",26607,"980301",37344,"T. debilis Zurich type","NULL","wing","holotype",49338,"width","2.6"
"37",26607,"980301",37344,"T. debilis Zurich type","NULL","wing","holotype",49339,"length","7.2"
"39",26609,"980302",37344,"T. pusillus Bernstein type","NULL","wing","holotype",49341,"width","1.3"
"40",26609,"980302",37344,"T. pusillus Bernstein type","NULL","wing","holotype",49342,"length","5.3"
"42",26611,"966213",37344,"A. parthenope Zurich type","NULL","wing","holotype",49344,"width","7.9"
"43",26611,"966213",37344,"A. parthenope Zurich type","NULL","wing","holotype",49345,"length","35.5"
"45",26613,"966653",37344,"A. coloratum type","NULL","wing","holotype",49347,"length","37.3"
"46",26614,"966143",37344,"A. leucosia Lavater type","NULL","wing","holotype",49348,"width","7.7"
"47",26614,"966143",37344,"A. leucosia Lavater type","NULL","wing","holotype",49349,"length","37.6"
"48",26615,"966144",37344,"A. ligea Oeningen type","NULL","wing","holotype",49350,"width","6.9"
"49",26615,"966144",37344,"A. ligea Oeningen type","NULL","wing","holotype",49351,"length","30.7"
"50",26619,"980312",37344,"A. aglaope Seyfried type","NULL","wing","holotype",49355,"width","4"
"51",26619,"980312",37344,"A. aglaope Seyfried type","NULL","wing","holotype",49356,"length","18"
"53",26629,"980314",37344,"A. polydore Carlsruhe type","NULL","forewing","holotype",49366,"length","38.1"
"54",26630,"980314",37344,"A. polydore Carlsruhe type","NULL","hindwing","holotype",49367,"length","37.9"
"55",26634,"980315",37344,"A. tyche Lavater type","NULL","forewing","holotype",49371,"length","40.3"
"56",26635,"980315",37344,"A. tyche Lavater type","NULL","hindwing","holotype",49372,"width","14.6"
"57",26635,"980315",37344,"A. tyche Lavater type","NULL","hindwing","holotype",49373,"length","40.3"
"58",26640,"980316",37344,"A. metis Radoboj type","NULL","hindwing","holotype",49378,"width","16.9"
"59",26640,"980316",37344,"A. metis Radoboj type","NULL","hindwing","holotype",49379,"length","51.9"
"64",26700,"980372",37344,"V. attavina Parschlug type","NULL","wing","holotype",49457,"width","3.2"
"65",26700,"980372",37344,"V. attavina Parschlug type","NULL","wing","holotype",49458,"length","14.8"
"66",26723,"980373",37344,"F. obesa Radoboj type","NULL","forewing","holotype",49487,"width","4.8"
"67",26723,"980373",37344,"F. obesa Radoboj type","NULL","forewing","holotype",49488,"length","15.9"
"70",26725,"980393",37344,"F. pinguis Radoboj type","NULL","forewing","holotype",49491,"length","12.7"
"75",26728,"980400",37344,"F. lignitum Carlsruhe","NULL","forewing","NULL",49496,"length","14.8"
"78",26751,"980520",37344,"F. gravida unknown","NULL","forewing","NULL",49533,"width","3.2"
"79",26751,"980520",37344,"F. gravida unknown","NULL","forewing","NULL",49534,"length","10.1"
"82",26753,"980521",37344,"F. longicollis Carlsruhe type","NULL","wing","holotype",49537,"width","4.2"
"83",26753,"980521",37344,"F. longicollis Carlsruhe type","NULL","wing","holotype",49538,"length","13.8"
"89",26758,"980528",37344,"F. obscura Radoboj type","NULL","forewing","holotype",49545,"length","11.4"
"90",26759,"980529",37344,"F. primordialis Oeningen type","NULL","forewing","holotype",49546,"width","3.2"
"91",26759,"980529",37344,"F. primordialis Oeningen type","NULL","forewing","holotype",49547,"length","9.5"
"96",26763,"980531",37344,"F. immersa Oeningen type","NULL","wing","holotype",49554,"width","2.9"
"97",26763,"980531",37344,"F. immersa Oeningen type","NULL","wing","holotype",49555,"length","8.5"
"100",26765,"980532",37344,"F. longiventris Radoboj type","NULL","forewing","holotype",49558,"width","3.2"
"101",26765,"980532",37344,"F. longiventris Radoboj type","NULL","forewing","holotype",49559,"length","8.5"
"108",26769,"980536",37344,"F. ophthalmica Radoboj types","NULL","wing","NULL",49566,"width","2.6"
"109",26769,"980536",37344,"F. ophthalmica Radoboj types","NULL","wing","NULL",49567,"length","8.5"
"118",26774,"980542",37344,"F. seuberti Oeningen type","NULL","wing","holotype",49576,"length","8.5"
"121",26776,"980544",37344,"F. ungeri Radoboj type","NULL","forewing","holotype",49579,"length","8.5"
"124",26778,"980545",37344,"F. redtenbacheri Radoboj type","NULL","forewing","holotype",49582,"length","8.5"
"131",26782,"980546",37344,"F. globularis Radoboj type","NULL","wing","holotype",49589,"length","6.6"
"132",26783,"980547",37344,"F. globiventris Alberti type","NULL","wing","holotype",49590,"length","5.3"
"141",26788,"980550",37344,"F. occultata Radoboj female","female","forewing","NULL",49599,"length","5.3"
"145",26791,"980560",37344,"F. longipennis Radoboj type","NULL","forewing","holotype",49603,"width","1.9"
"146",26791,"980560",37344,"F. longipennis Radoboj type","NULL","forewing","holotype",49604,"length","5.3"
"155",26796,"980563",37344,"F. imhoffii Radoboj type","NULL","wing","holotype",49613,"width","3.4"
"156",26796,"980563",37344,"F. imhoffii Radoboj type","NULL","wing","holotype",49614,"length","10.6"
"159",26798,"980564",37344,"F. schmidtii Radoboj type","NULL","hindwing","holotype",49617,"length","7.4"
"162",26800,"980552",37344,"F. primitiva Oeningen type","NULL","forewing","holotype",49620,"length","7.9"
"169",26806,"980558",37344,"F. pulchella Seyfried type","NULL","wing","holotype",49628,"length","5.8"
"174",26809,"980568",37344,"F. atavina Radoboj type","NULL","forewing","holotype",49633,"width","1.6"
"175",26809,"980568",37344,"F. atavina Radoboj type","NULL","forewing","holotype",49634,"length","4.8"
"180",26812,"980574",37344,"P. fuliginosa Seyfried coll","NULL","forewing","NULL",49639,"width","2.6"
"181",26812,"980574",37344,"P. fuliginosa Seyfried coll","NULL","forewing","NULL",49640,"length","9.5"
"184",26814,"980578",37344,"P. affinis Radoboj type","NULL","wing","holotype",49643,"length","9.8"
"187",26816,"980570",37344,"P. croatica Wien type","NULL","forewing","holotype",49646,"width","2.6"
"188",26816,"980570",37344,"P. croatica Wien type","NULL","forewing","holotype",49647,"length","8.5"
"191",26818,"980575",37344,"P. longaeva Seyfried type","NULL","wing","holotype",49650,"length","8.2"
"194",26820,"980581",37344,"P. crassinervis Parschlug type","NULL","wing","holotype",49653,"width","3.2"
"195",26820,"980581",37344,"P. crassinervis Parschlug type","NULL","wing","holotype",49654,"length","7.9"
"198",26822,"980576",37344,"P. ventrosa Seyfried type","NULL","wing","holotype",49657,"width","3.4"
"199",26822,"980576",37344,"P. ventrosa Seyfried type","NULL","wing","holotype",49658,"length","10.6"
"203",26825,"980587",37344,"A. longipennis Radoboj type","NULL","wing","holotype",49662,"length","10.1"
"206",26827,"980589",37344,"A. nigra Radoboj type","NULL","wing","holotype",49665,"length","7.9"
"207",26828,"980595",37344,"M. macrocephala Oeningen type","NULL","wing","holotype",49666,"length","9.5"
"210",26830,"980590",37344,"M. tertiaria radobojensis type","NULL","forewing","holotype",49669,"width","4.2"
"211",26830,"980590",37344,"M. tertiaria radobojensis type","NULL","forewing","holotype",49670,"length","10.9"
"214",26832,"980601",37344,"M. obsoleta Parschlug type","NULL","wing","holotype",49673,"width","4"
"215",26832,"980601",37344,"M. obsoleta Parschlug type","NULL","wing","holotype",49674,"length","8.5"
"216",26833,"980597",37344,"M. rugiceps Oeningen type","NULL","wing","holotype",49675,"width","2.6"
"217",26833,"980597",37344,"M. rugiceps Oeningen type","NULL","wing","holotype",49676,"length","7.9"
"220",26835,"980602",37344,"M. aemula Parschlug type","NULL","wing","holotype",49679,"width","2.1"
"221",26835,"980602",37344,"M. aemula Parschlug type","NULL","wing","holotype",49680,"length","6.4"
"222",26836,"980591",37344,"M. bremii Radoboj type","NULL","wing","holotype",49681,"length","7.7"
"227",26839,"980592",37344,"M. jurinei Radoboj type","NULL","forewing","holotype",49686,"width","2.1"
"228",26839,"980592",37344,"M. jurinei Radoboj type","NULL","forewing","holotype",49687,"length","6.4"
"229",26840,"980592",37344,"M. jurinei Radoboj type","NULL","hindwing","holotype",49688,"length","4"
"236",27120,"983216",37344,"A. lividus Radoboj type","NULL","forewing","holotype",50113,"width","2.1"
"237",27120,"983216",37344,"A. lividus Radoboj type","NULL","forewing","holotype",50114,"length","7.4"
"240",27122,"983217",37344,"H. fasciata Radoboj type","NULL","wing","holotype",50117,"width","1.9"
"241",27122,"983217",37344,"H. fasciata Radoboj type","NULL","wing","holotype",50118,"length","5"
"244",27124,"983218",37344,"T. venusta Seyfried type","NULL","wing","holotype",50121,"width","3.7"
"245",27124,"983218",37344,"T. venusta Seyfried type","NULL","wing","holotype",50122,"length","10.3"
"246",27125,"983220",37344,"C. oeningensis Carlsruhe type","NULL","forewing","holotype",50123,"length","9.5"
"248",27127,"983219",37344,"C. fragilis Seyfried type","NULL","wing","holotype",50125,"length","6.9"
"250",27129,"983227",37344,"S. attavus Charpentier type","NULL","wing","holotype",50127,"length","35.8"
"251",27130,"983223",37344,"V. pluto Wien type","NULL","forewing","holotype",50128,"width","18.5"
"252",27130,"983223",37344,"V. pluto Wien type","NULL","forewing","holotype",50129,"length","31.8"
"253",27131,"983224",37344,"P. freyeri Wien type","NULL","forewing","holotype",50130,"width","11.7"
"254",27131,"983224",37344,"P. freyeri Wien type","NULL","forewing","holotype",50131,"length","20.7"
"255",27132,"983225",37344,"N. haidingeri Wien type","NULL","wing","holotype",50132,"width","7.2"
"256",27132,"983225",37344,"N. haidingeri Wien type","NULL","wing","holotype",50133,"length","13.8"
"257",27133,"983226",37344,"N. effosa Wien type","NULL","wing","holotype",50134,"width","9.5"
"258",27133,"983226",37344,"N. effosa Wien type","NULL","wing","holotype",50135,"length","21.2"
"259",27134,"983228",37344,"P. crenata Wien type","NULL","hindwing","holotype",50136,"width","14.8"
"260",27134,"983228",37344,"P. crenata Wien type","NULL","hindwing","holotype",50137,"length","29.1"
"261",27135,"983229",37344,"P. obsoleta Wien type","NULL","hindwing","holotype",50138,"width","6.9"
"262",27135,"983229",37344,"P. obsoleta Wien type","NULL","hindwing","holotype",50139,"length","15.4"
"265",27138,"983236",37344,"T. maculipennis Gratz spec","NULL","wing","holotype",50142,"width","4.5"
"266",27138,"983236",37344,"T. maculipennis Gratz spec","NULL","wing","holotype",50143,"length","15.4"
"269",27140,"983234",37344,"T. aemula wing","NULL","wing","holotype",50146,"width","5.3"
"270",27140,"983234",37344,"T. aemula wing","NULL","wing","holotype",50147,"length","18.5"
"271",27141,"983238",37344,"T. varia Wien type","NULL","wing","holotype",50148,"width","4.2"
"272",27141,"983238",37344,"T. varia Wien type","NULL","wing","holotype",50149,"length","13.2"
"274",27143,"983239",37344,"T. lineata Wien type","NULL","wing","holotype",50151,"width","4.8"
"275",27143,"983239",37344,"T. lineata Wien type","NULL","wing","holotype",50152,"length","18"
"278",27145,"983240",37344,"T. obtecta Wien type","NULL","wing","holotype",50155,"length","14"
"281",27147,"983241",37344,"R. extincta Wien spec","NULL","wing","holotype",50158,"width","2.9"
"282",27147,"983241",37344,"R. extincta Wien spec","NULL","wing","holotype",50159,"length","9.8"
"283",27148,"983242",37344,"R. picta Wien type","NULL","wing","holotype",50160,"width","2.6"
"284",27148,"983242",37344,"R. picta Wien type","NULL","wing","holotype",50161,"length","8.5"
"285",27149,"983243",37344,"R. propinqua Wien type","NULL","wing","holotype",50162,"width","2.6"
"286",27149,"983243",37344,"R. propinqua Wien type","NULL","wing","holotype",50163,"length","7.7"
"287",27150,"983235",37344,"L. formosa type","NULL","wing","holotype",50164,"width","3.2"
"288",27150,"983235",37344,"L. formosa type","NULL","wing","holotype",50165,"length","13"
"290",27152,"983244",37344,"L. cingulata Wien type","NULL","wing","holotype",50167,"width","2.9"
"291",27152,"983244",37344,"L. cingulata Wien type","NULL","wing","holotype",50168,"length","9.8"
"293",27154,"983245",37344,"L. tenuis Wien type","NULL","wing","holotype",50170,"width","2.6"
"294",27154,"983245",37344,"L. tenuis Wien type","NULL","wing","holotype",50171,"length","7.9"
"296",27156,"983248",37344,"L. vetusta Wien type","NULL","wing","holotype",50173,"width","2.9"
"297",27156,"983248",37344,"L. vetusta Wien type","NULL","wing","holotype",50174,"length","9.5"
"298",27157,"983246",37344,"L. debilis Wien type","NULL","wing","holotype",50175,"length","6.9"
"300",29850,"1003817",38897,"C. pulchella Oeningen type","NULL","elytron","holotype",54849,"width","1.9"
"301",29850,"1003817",38897,"C. pulchella Oeningen type","NULL","elytron","holotype",54850,"length","5.8"
"303",29852,"1003818",38897,"B. primordialis Oeningen type","NULL","elytron","holotype",54852,"width","1.9"
"304",29852,"1003818",38897,"B. primordialis Oeningen type","NULL","elytron","holotype",54853,"length","4.2"
"305",29853,"1003899",38897,"G. laevigatus Oeningen type","NULL","elytron","holotype",54854,"width","5.3"
"306",29853,"1003899",38897,"G. laevigatus Oeningen type","NULL","elytron","holotype",54855,"length","11.4"
"309",29855,"1003819",38897,"B. prodromus Oeningen type","NULL","elytron","holotype",54858,"length","2.4"
"312",29857,"1003924",38897,"B. debilis Oeningen type","NULL","elytron","holotype",54861,"width","1.3"
"313",29857,"1003924",38897,"B. debilis Oeningen type","NULL","elytron","holotype",54862,"length","2.6"
"316",29859,"1003928",38897,"A. orphanus Radoboj type","NULL","elytron","holotype",54865,"width","1.6"
"317",29859,"1003928",38897,"A. orphanus Radoboj type","NULL","elytron","holotype",54866,"length","4.5"
"318",29860,"1003868",38897,"A. antiquus Oeningen type","NULL","elytron","holotype",54867,"width","1.3"
"319",29860,"1003868",38897,"A. antiquus Oeningen type","NULL","elytron","holotype",54868,"length","4.2"
"322",29862,"1003929",38897,"H. tabidus Radoboj type","NULL","elytron","holotype",54871,"width","3.2"
"323",29862,"1003929",38897,"H. tabidus Radoboj type","NULL","elytron","holotype",54872,"length","5.8"
"324",29863,"1003820",38897,"D. lavateri Oeningen type","NULL","elytron","holotype",54873,"width","10.1"
"325",29863,"1003820",38897,"D. lavateri Oeningen type","NULL","elytron","holotype",54874,"length","27.5"
"326",29864,"1003925",38897,"D. zschokkeanus Oeningen type","NULL","elytron","holotype",54875,"length","9.3"
"329",29866,"1003821",38897,"D. oeningensis Oeningen type","NULL","elytron","holotype",54878,"length","7.4"
"334",29869,"1003822",38897,"P. erichsonii Oeningen type","NULL","elytron","holotype",54883,"width","3.7"
"335",29869,"1003822",38897,"P. erichsonii Oeningen type","NULL","elytron","holotype",54884,"length","11.7"
"340",29873,"1003823",38897,"N. melanaria Oeningen type","NULL","elytron","holotype",54889,"width","1.9"
"341",29873,"1003823",38897,"N. melanaria Oeningen type","NULL","elytron","holotype",54890,"length","4"
"343",29875,"1003930",38897,"A. bella Radoboj type","NULL","elytron","holotype",54892,"width","1.7"
"344",29875,"1003930",38897,"A. bella Radoboj type","NULL","elytron","holotype",54893,"length","3.2"
"347",29877,"1003824",38897,"P. tricostata Oeningen type","NULL","elytron","holotype",54896,"width","4.8"
"348",29877,"1003824",38897,"P. tricostata Oeningen type","NULL","elytron","holotype",54897,"length","11.9"
"349",29878,"1003870",38897,"T. koellikeri Oeningen type","NULL","elytron","holotype",54898,"width","3.7"
"350",29878,"1003870",38897,"T. koellikeri Oeningen type","NULL","elytron","holotype",54899,"length","11.4"
"355",29881,"1003908",38897,"B. oeningensis Oeningen type","NULL","elytron","holotype",54904,"length","4.2"
"358",29883,"1003825",38897,"H. vexatorius Lavater specimen","NULL","elytron","NULL",54907,"width","11.7"
"359",29883,"1003825",38897,"H. vexatorius Lavater specimen","NULL","elytron","NULL",54908,"length","32.3"
"360",29884,"1003872",38897,"H. vexatorius Carlsruhe type","NULL","elytron","NULL",54909,"width","10.9"
"361",29884,"1003872",38897,"H. vexatorius Carlsruhe type","NULL","elytron","NULL",54910,"length","31"
"362",29885,"1003826",38897,"H. spectabilis Lavater specimen 1","NULL","elytron","NULL",54911,"length","31.3"
"363",29886,"1003826",38897,"H. spectabilis Lavater specimen 2","NULL","elytron","NULL",54912,"length","28.1"
"364",29887,"1003873",38897,"H. knorrii Oeningen type","NULL","elytron","holotype",54913,"width","11.1"
"365",29887,"1003873",38897,"H. knorrii Oeningen type","NULL","elytron","holotype",54914,"length","28.9"
"366",29888,"1003948",38897,"H. carbonarius Parschlug type","NULL","elytron","holotype",54915,"width","7.4"
"367",29888,"1003948",38897,"H. carbonarius Parschlug type","NULL","elytron","holotype",54916,"length","20.1"
"368",29889,"1003827",38897,"H. noachicus Oeningen type","NULL","elytron","holotype",54917,"width","5"
"371",29891,"1003828",38897,"E. ovalis Oeningen type","NULL","elytron","holotype",54920,"length","10.6"
"377",29895,"1003832",38897,"Ap. antiquus Oeningen type","NULL","elytron","holotype",54926,"width","1.9"
"378",29895,"1003832",38897,"Ap. antiquus Oeningen type","NULL","elytron","holotype",54927,"length","4.5"
"383",29898,"1003946",38897,"M. greithiana Greith type","NULL","elytron","holotype",54932,"width","6.6"
"384",29898,"1003946",38897,"M. greithiana Greith type","NULL","elytron","holotype",54933,"length","19.6"
"385",29899,"1003876",38897,"R. longimanus Oeningen type","NULL","elytron","holotype",54934,"width","2.9"
"386",29899,"1003876",38897,"R. longimanus Oeningen type","NULL","elytron","holotype",54935,"length","6.6"
"390",29902,"1003949",38897,"M. parschlugiana Parschlug type","NULL","elytron","holotype",54939,"width","6.9"
"391",29902,"1003949",38897,"M. parschlugiana Parschlug type","NULL","elytron","holotype",54940,"length","15.6"
"392",29903,"1003950",38897,"M. kollari Parschlug type","NULL","elytron","holotype",54941,"width","4"
"393",29903,"1003950",38897,"M. kollari Parschlug type","NULL","elytron","holotype",54942,"length","9.5"
"394",29904,"1003905",38897,"M. lavateri Oeningen type","NULL","elytron","holotype",54943,"width","3.4"
"395",29904,"1003905",38897,"M. lavateri Oeningen type","NULL","elytron","holotype",54944,"length","7.9"
"396",29905,"1003834",38897,"T. amoenus Oeningen type","NULL","elytron","holotype",54945,"width","1.9"
"397",29905,"1003834",38897,"T. amoenus Oeningen type","NULL","elytron","holotype",54946,"length","6.4"
"399",29907,"1003909",38897,"C. antiqua Seyfried specimen","NULL","elytron","NULL",54948,"width","5.8"
"400",29907,"1003909",38897,"C. antiqua Seyfried specimen","NULL","elytron","NULL",54949,"length","18"
"403",29909,"1003835",38897,"C. puncticollis Oeningen type","NULL","elytron","holotype",54952,"length","15.1"
"404",29910,"1003835",38897,"C. puncticollis compressa type","NULL","elytron","NULL",54953,"width","5"
"405",29910,"1003835",38897,"C. puncticollis compressa type","NULL","elytron","NULL",54954,"length","15.4"
"406",29911,"1003878",38897,"A. heydenii Oeningen type","NULL","elytron","holotype",54955,"width","6.4"
"407",29911,"1003878",38897,"A. heydenii Oeningen type","NULL","elytron","holotype",54956,"length","17.5"
"410",29913,"1003879",38897,"A. deleta Oeningen type","NULL","elytron","holotype",54959,"length","11.1"
"413",29915,"1003910",38897,"A. rusticana Oeningen type","NULL","elytron","holotype",54962,"length","11.7"
"415",29917,"1003911",38897,"A. seyfriedii Oeningen type","NULL","elytron","holotype",54964,"width","3.2"
"416",29917,"1003911",38897,"A. seyfriedii Oeningen type","NULL","elytron","holotype",54965,"length","10.6"
"419",29919,"1003880",38897,"Carlsruhe Museum 279/285","NULL","elytron","holotype",54968,"length","9.3"
"422",29921,"1003836",38897,"E. longipennis Oeningen type","NULL","elytron","holotype",54971,"width","9.5"
"423",29921,"1003836",38897,"E. longipennis Oeningen type","NULL","elytron","holotype",54972,"length","18.5"
"426",29924,"1003837",38897,"D. prisca Oeningen type","NULL","elytron","holotype",54975,"width","4.2"
"427",29924,"1003837",38897,"D. prisca Oeningen type","NULL","elytron","holotype",54976,"length","14.3"
"428",29925,"1003838",38897,"S. gigantea Oeningen type","NULL","elytron","holotype",54977,"length","18"
"431",29927,"1003902",38897,"P. escheri Oeningen type","NULL","elytron","holotype",54980,"width","3.7"
"432",29927,"1003902",38897,"P. escheri Oeningen type","NULL","elytron","holotype",54981,"length","13.8"
"433",29928,"1003912",38897,"F. amoena Oeningen type","NULL","elytron","holotype",54982,"width","2.6"
"434",29928,"1003912",38897,"F. amoena Oeningen type","NULL","elytron","holotype",54983,"length","10.1"
"437",29930,"1003839",38897,"Bu. oeningensis Oeningen type","NULL","elytron","holotype",54986,"width","5.6"
"438",29930,"1003839",38897,"Bu. oeningensis Oeningen type","NULL","elytron","holotype",54987,"length","20.1"
"439",29931,"1003881",38897,"B. exstincta Oeningen type","NULL","elytron","holotype",54988,"length","12.7"
"440",29932,"1003913",38897,"Am. seyfriedii Oeningen type","NULL","elytron","holotype",54989,"width","1.6"
"441",29932,"1003913",38897,"Am. seyfriedii Oeningen type","NULL","elytron","holotype",54990,"length","7.9"
"444",29934,"1003840",38897,"I. gracilis Oeningen type","NULL","elytron","holotype",54993,"length","5.8"
"446",29936,"1003882",38897,"C. braunii Oeningen type","NULL","elytron","holotype",54995,"width","2.1"
"447",29936,"1003882",38897,"C. braunii Oeningen type","NULL","elytron","holotype",54996,"length","6.9"
"450",29938,"1003883",38897,"D. sutor Oeningen type","NULL","elytron","holotype",54999,"width","2.1"
"451",29938,"1003883",38897,"D. sutor Oeningen type","NULL","elytron","holotype",55000,"length","8.5"
"454",29940,"1003841",38897,"L. optabilis Oeningen type","NULL","elytron","holotype",55003,"length","6.9"
"456",29942,"1003842",38897,"L. primordialis Oeningen type","NULL","elytron","holotype",55005,"length","7.9"
"458",29944,"1003926",38897,"A. granulata Oeningen type","NULL","elytron","holotype",55007,"width","2.1"
"459",29944,"1003926",38897,"A. granulata Oeningen type","NULL","elytron","holotype",55008,"length","6.9"
"461",29946,"1003843",38897,"E. lavateri Oeningen type","NULL","elytron","holotype",55010,"width","2.6"
"462",29946,"1003843",38897,"E. lavateri Oeningen type","NULL","elytron","holotype",55011,"length","6.4"
"466",29949,"1003884",38897,"T. germari Oeningen type","NULL","elytron","holotype",55015,"width","2.6"
"467",29949,"1003884",38897,"T. germari Oeningen type","NULL","elytron","holotype",55016,"length","8.5"
"468",29950,"1003937",38897,"T. tertiarius oeningensis type","NULL","elytron","holotype",55017,"width","2.1"
"469",29950,"1003937",38897,"T. tertiarius oeningensis type","NULL","elytron","holotype",55018,"length","7.4"
"470",29951,"1003931",38897,"T. tertiarius radobojanus type","NULL","elytron","NULL",55019,"length","6.9"
"471",29952,"1003885",38897,"T. fragilis Oeningen type","NULL","elytron","NULL",55020,"length","4.8"
"475",29955,"1003846",38897,"C. adonis Oeningen type","NULL","elytron","NULL",55024,"width","2.6"
"476",29955,"1003846",38897,"C. adonis Oeningen type","NULL","elytron","NULL",55025,"length","7.2"
"477",29956,"1003847",38897,"L. aescapulii type","NULL","elytron","NULL",55026,"width","2.6"
"478",29956,"1003847",38897,"L. aescapulii type","NULL","elytron","NULL",55027,"length","11.1"
"480",29958,"1003933",38897,"M. podalirii Radoboj type","NULL","elytron","NULL",55029,"length","10.6"
"483",29961,"1003888",38897,"H. meissneri Oeningen type","NULL","elytron","NULL",55032,"width","5.3"
"484",29961,"1003888",38897,"H. meissneri Oeningen type","NULL","elytron","NULL",55033,"length","12.2"
"486",29963,"1003848",38897,"M. molassicus Oeningen type","NULL","elytron","NULL",55035,"width","2.1"
"487",29963,"1003848",38897,"M. molassicus Oeningen type","NULL","elytron","NULL",55036,"length","7.9"
"489",29965,"1003915",38897,"C. melancholicus Oeningen type","NULL","elytron","NULL",55038,"length","9.5"
"491",29967,"1003889",38897,"M. jasonis Oeningen type","NULL","elytron","NULL",55040,"width","3.7"
"492",29967,"1003889",38897,"M. jasonis Oeningen type","NULL","elytron","NULL",55041,"length","12.7"
"495",29969,"1003945",38897,"A. phrixi Radoboj type","NULL","elytron","NULL",55044,"length","7.4"
"497",29971,"1003916",38897,"S. nephele Oeningen type","NULL","elytron","NULL",55046,"width","2.6"
"498",29971,"1003916",38897,"S. nephele Oeningen type","NULL","elytron","NULL",55047,"length","12.4"
"505",29975,"1003849",38897,"A. pusillus Oeningen type","NULL","elytron","NULL",55054,"length","3.2"
"508",29977,"1003938",38897,"R. silenus Oeningen type","NULL","elytron","NULL",55057,"length","2.9"
"509",29978,"1003892",38897,"B. germanus Oeningen type","NULL","elytron","NULL",55058,"length","4.5"
"511",29980,"1003850",38897,"S. attavina Oeningen type","NULL","elytron","NULL",55060,"length","3.2"
"513",29982,"1003893",38897,"C. larinoides Oeningen type","NULL","elytron","NULL",55062,"width","5.8"
"514",29982,"1003893",38897,"C. larinoides Oeningen type","NULL","elytron","NULL",55063,"length","15.6"
"517",29984,"1003894",38897,"C. deucationis Oeningen type","NULL","elytron","NULL",55066,"length","7.9"
"520",29990,"1003917",38897,"P. ellipticus Oeningen type","NULL","elytron","NULL",55074,"length","7.7"
"523",29992,"1003851",38897,"L. rugicollis Oeningen type","NULL","elytron","NULL",55077,"length","10.6"
"525",29994,"1003852",38897,"S. naegelianus Oeningen type","NULL","elytron","NULL",55079,"length","7.7"
"527",29996,"1003853",38897,"S. regelianus Oeningen type","NULL","elytron","holotype",55081,"length","9.5"
"528",29997,"1003854",38897,"C. meriani Oeningen type","NULL","elytron","holotype",55082,"width","3.2"
"529",29997,"1003854",38897,"C. meriani Oeningen type","NULL","elytron","holotype",55083,"length","5.8"
"532",29999,"1003855",38897,"C. spielbergii Oeningen type","NULL","elytron","holotype",55086,"width","2.9"
"533",29999,"1003855",38897,"C. spielbergii Oeningen type","NULL","elytron","holotype",55087,"length","5.8"
"536",30001,"1003918",38897,"D. palaemonis Oeningen type","NULL","elytron","holotype",55090,"length","7.7"
"540",30004,"1003857",38897,"C. hermione Oeningen type","NULL","elytron","holotype",55094,"length","6.1"
"543",30006,"1003858",38897,"C. megapenthes Oeningen type","NULL","elytron","holotype",55097,"length","4"
"546",30008,"1003859",38897,"L. populeti Oeningen type","NULL","elytron","holotype",55100,"width","2.9"
"547",30008,"1003859",38897,"L. populeti Oeningen type","NULL","elytron","holotype",55101,"length","7.4"
"549",30010,"1003860",38897,"C. calami Oeningen type","NULL","elytron","holotype",55103,"length","6.6"
"552",30012,"1003919",38897,"C. punctigera Oeningen type","NULL","elytron","holotype",55106,"width","2"
"553",30012,"1003919",38897,"C. punctigera Oeningen type","NULL","elytron","holotype",55107,"length","5.3"
"554",30013,"1003861",38897,"O. hellenis Oeningen type","NULL","elytron","holotype",55108,"width","2.9"
